Model,gamma,gamma_se,k,k_se,s,s_se,alpha,alpha_se,a,a_se,s_ge,s_ge_se,beta,beta_se,delta,delta_se
GMM (exp),1.5643346331439743,0.5469188997644232,1.7007701479426144e-16,2.0733129126557408e-11,3.7166029269642e-06,2.4563217156008783e-05,0.003664264543807927,0.013488873164952366,0.1425820953367853,0.15224407187146483,9.383451249781465e-06,4.277946899543243e-05,1.2363981944768858,2.667306775804132,0.7541642265580836,0.3007879297600855
GMM (pow),32.84295112012699,11.52093410969412,1.2046043506508331e-45,6.462496461907196e-27,8.201183295718383e-07,1.0598827261692962e-05,0.003566843078342307,0.013599404553365436,0.12488129697562435,0.14923504942090723,3.640089057216715e-06,2.7596410192755093e-05,1.2583740267085561,3.0194278601132893,0.7422460014993844,0.31785532094483354
