Model,Method,gamma,k,s,alpha,a,gift,beta,delta,pi_weight
Benchmark (exp),NLS,1.5544285271172884,1.9423001518818417e-16,3.6504286027963224e-06,,,,,,
Benchmark (pow),NLS,33.0,5.999999999999999e-26,0.0049,,,,,,
Full (exp),NLS,1.3925848367293,6.26891153656136e-15,0.000749173662908437,0.004516783843111865,0.12593214333426558,-0.0017959312476993736,1.0,0.99,
Full (pow),NLS,20.033843516128083,4.238985976218575e-28,0.0004801435589081562,0.013082558187284262,0.23133642385639572,-0.0011510745938326783,1.0,0.99,
ProbWeight (exp),NLS,0.019891824546556903,3.054581400922131e-05,4.477478466696134e-05,,,,,,0.5
ProbWeight (pow),NLS,18.771899806949953,5.8450662400347185e-24,0.8345025107872743,,,,,,0.5
